id,text,target
768213876278165504,"-Me caes muy bien  -Tienes que jugar más partidas al lol con Russel y conmigo -Por qué tan Otako, deja de ser otako -Haber si me muero",NONE
768213567418036224,"@myendlesshazza a. que puto mal escribo  b. me sigo surrando help   3. ha quedado raro el ""cómetelo"" ahí JAJAJAJA",N
768212591105703936,@estherct209 jajajaja la tuya y la d mucha gente seguro!! Pero yo no puedo sin mi melena me muero ,N
768221670255493120,Quiero mogollón a @AlbaBenito99 pero sobretodo por lo rápido que contesta a los wasaps ,P
768221021300264964,Vale he visto la tia bebiendose su regla y me hs dado muchs grima ,N
768220253730009091,@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal ,P
768224728049999872,Se ha terminado #Rio2016 Lamentablemente no arriendo las ganancias al pueblo brasileño por la penuria que les espera  Suerte y solidaridad,N
768231706746912769,11. siiii fue super gracioso teniamos que habernos sacado una foto ,P
768231229439311872,@toNi_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso,N
768231166965145600,"@jonoro96 te mandaria a comprarte un burro, pero no creo que hayan tiendas abiertas ahora ",N
768230914233143296,Mg y pongo un adjetivo super repelente a vuestro nombre ,N
768224471127826432,@hywzz la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que ,N
768223726739611652,@EduGalan14  Jaja.Es de bien nacidos ser agradecidos que diría aquel.Tiene el récord de puntos del VCF.Creo q cumplió con lo que había.,P
768223225453084674,"@misscatingcat Bueno, al menos has acabado la noche con una hermosa vista  Ami tambien me gusta verlos por la noche ^^",P
768223146868703232,@mendescodes @heroinseb enserio cuando habéis dicho que los froot loops están malos me ha dolido... ,N
768229223769202689,"@Sakura_Abril Ow  Bueno, no pasa nada, cuando puedas confirmarlo, estoy aquí 😊 Y si no pudieras de cosplay pero sí a la expo, +",P
768228919032082433,"Aunque pensaba que no podría hacerlo hasta el mes de octubre, el lunes próximo volveré a ver a mi familia de #Mataró *.*   #felicidad",P
768228580673347584,Oye @luciaskaa te pones a hablar con @josecs02 como en los viejos tiempos y no avisas  @JuanAlfonso251 @CrisDazGar,N
768228346232729603,"@JCLilGangster yo tengo que aguantar 4 niños pequeños, no sé que es peor ",N
768232948231462912,@tejecristal 765 emberda Y porque estoy dedicandome a otros supps últimamente ,NONE
768232556538068992,@Yosmath @Planeta87Radio  #Incantus  Genial ya estoy conectada ,P
768018934385807360,"Es muy raro el sentimiento que tengo ahora, aunque en fin... Qué más dará ",NEU
